datetime,actual,xgboost,arima,ensemble_70_30
2025-05-10 00:00:00,39072.258992385105,39047.2,39130.097627059055,39072.068350617716
2025-05-10 01:00:00,39092.6051576128,39041.684,39128.357685634524,39067.68504006536
2025-05-10 02:00:00,38988.3500437777,39037.023,39130.0960472684,39064.94482980552
2025-05-10 03:00:00,38851.4066144383,39038.977,39128.3592639908,39065.79098232224
2025-05-10 04:00:00,39227.0699734741,39033.33,39130.094470345204,39062.35841922856
2025-05-10 05:00:00,39055.1286915941,39037.23,39128.36083948222,39064.568798719665
2025-05-10 06:00:00,39022.7928290399,39040.766,39130.092896284266,39067.56302513528
2025-05-10 07:00:00,38995.7641775154,39034.18,39128.36241211399,39062.43450488419
2025-05-10 08:00:00,39000.0262492471,39032.82,39130.09132508038,39062.002006899114
2025-05-10 09:00:00,39022.5177712125,39037.28,39128.363981891285,39064.604897692385
2025-05-10 10:00:00,39083.4651819905,39035.977,39130.08975672837,39064.21052076851
2025-05-10 11:00:00,39064.4948052235,39040.19,39128.365548819296,39066.64247714579
2025-05-10 12:00:00,39148.1905843614,39037.59,39130.088191223054,39065.33895736691
2025-05-10 13:00:00,39095.8410920751,39039.797,39128.3671129032,39066.36755574596
2025-05-10 14:00:00,38974.0412251802,39041.13,39130.08662855927,39067.81505106778
2025-05-10 15:00:00,38983.6489419711,39039.61,39128.36867414815,39066.237164744445
2025-05-10 16:00:00,39199.9646203316,39034.906,39130.08506873186,39063.45911436956
2025-05-10 17:00:00,39026.4152952725,39034.867,39128.370232559304,39062.91731976779
2025-05-10 18:00:00,39076.0588155053,39043.74,39130.08351173567,39069.6422410207
2025-05-10 19:00:00,39020.0127629461,39042.633,39128.371788141805,39068.353333317544
2025-05-10 20:00:00,39208.7508946953,39045.53,39130.08195756557,39070.89568101967
2025-05-10 21:00:00,38914.1112412528,39049.44,39128.37334090079,39073.12137727024
2025-05-10 22:00:00,38992.9878147366,39053.055,39130.080406216424,39076.162793739924
2025-05-10 23:00:00,39274.6282360852,39053.508,39128.374890841376,39075.96754537741
2025-05-11 00:00:00,39091.585012223695,39049.63,39130.07885768311,39073.76389167993
2025-05-11 01:00:00,39094.0912410583,39043.14,39128.37643796868,39068.71019701561
2025-05-11 02:00:00,39195.3989183794,39038.57,39130.07731196052,39066.02124046316
2025-05-11 03:00:00,39003.4595828825,39039.055,39128.37798228782,39065.85128531135
2025-05-11 04:00:00,38884.6000648838,39035.11,39130.075769043564,39063.59890258807
2025-05-11 05:00:00,39042.6182970814,39038.543,39128.37952380389,39065.494325891166
2025-05-11 06:00:00,39115.8865536721,39040.94,39130.07422892713,39067.680471803134
2025-05-11 07:00:00,38938.48960915,39035.727,39128.381062521956,39063.522131256585
2025-05-11 08:00:00,39153.7508413798,39035.375,39130.07269160614,39063.78352623184
2025-05-11 09:00:00,38943.5025661425,39039.19,39128.38259844712,39065.94837328413
2025-05-11 10:00:00,38973.5368114839,39038.145,39130.07115707552,39065.72251899766
2025-05-11 11:00:00,39035.6981744698,39041.92,39128.38413158445,39067.86094260033
2025-05-11 12:00:00,39276.3154913692,39037.52,39130.06962533022,39065.284559474065
2025-05-11 13:00:00,39129.1714958254,39039.117,39128.385661939,39065.8965579567
2025-05-11 14:00:00,39061.1430970894,39042.523,39130.068096365176,39068.786053909556
2025-05-11 15:00:00,39048.8623081072,39038.758,39128.38718951582,39065.64701622975
2025-05-11 16:00:00,39061.1605456672,39034.098,39130.06657017533,39062.8871585526
2025-05-11 17:00:00,39050.2368066492,39034.34,39128.38871431995,39062.553723670986
2025-05-11 18:00:00,39098.8888093663,39043.492,39130.065046755655,39069.462873401695
2025-05-11 19:00:00,39142.6075942594,39041.207,39128.390236356434,39067.36082090693
2025-05-11 20:00:00,38930.0315566828,39044.34,39130.06352610112,39070.05616720534
2025-05-11 21:00:00,38964.5611964715,39047.277,39128.391755630284,39071.61127668909
2025-05-11 22:00:00,39067.9852420344,39053.45,39130.0620082067,39076.43266496201
2025-05-11 23:00:00,39182.0097286021,39054.434,39128.39327214651,39076.62149726895
2025-05-12 00:00:00,39029.330372858,39048.637,39130.0604930674,39073.06306979522
2025-05-12 01:00:00,38979.3847203748,39042.836,39128.39478591013,39068.50281077304
2025-05-12 02:00:00,39082.64769254,39035.645,39130.05898067821,39063.96886607846
2025-05-12 03:00:00,39078.1039608162,39034.324,39128.39629692614,39062.546232827845
2025-05-12 04:00:00,39038.0359371467,39029.664,39130.05747103414,39059.78091318524
2025-05-12 05:00:00,39129.5827163624,39031.535,39128.39780519952,39060.593560309855
2025-05-12 06:00:00,39031.811344252,39035.55,39130.0559641302,39063.90155486406
2025-05-12 07:00:00,39092.3392124369,39031.98,39128.39931073525,39060.90651197058
2025-05-12 08:00:00,39323.0987486267,39031.82,39130.05445996143,39061.28977548843
2025-05-12 09:00:00,39043.589564260306,39038.297,39128.400813538305,39065.32688468649
2025-05-12 10:00:00,38931.8807314403,39041.11,39130.05295852286,39067.79127818186
2025-05-12 11:00:00,39080.121920743506,39049.43,39128.40231361363,39073.12030345909
2025-05-12 12:00:00,39089.2742130089,39047.832,39130.051459809525,39072.49785981786
2025-05-12 13:00:00,38941.2110879682,39055.23,39128.40381096619,39077.18129953986
2025-05-12 14:00:00,39091.8242435993,39053.13,39130.04996381649,39076.20444226995
2025-05-12 15:00:00,39064.8791177788,39049.242,39128.40530560093,39072.99034168028
2025-05-12 16:00:00,39145.1332412251,39044.895,39130.04847053882,39070.44032241165
2025-05-12 17:00:00,38997.213990666,39038.023,39128.40679752277,39065.13727363183
2025-05-12 18:00:00,38908.0772789255,39047.777,39130.04697997158,39072.45745336647
2025-05-12 19:00:00,39203.660653540894,39043.01,39128.408286736645,39068.62990789599
2025-05-12 20:00:00,39159.9366257524,39044.977,39130.04549210985,39070.49606950796
2025-05-12 21:00:00,39005.4489426766,39049.027,39128.40977324747,39072.84129134924
2025-05-12 22:00:00,39089.50390176,39046.086,39130.04400694872,39071.272967709614
2025-05-12 23:00:00,38882.167846869,39045.426,39128.41125706014,39070.32025211804
2025-05-13 00:00:00,39209.6174565372,39052.508,39130.04252448329,39075.768616719986
2025-05-13 01:00:00,39235.6757008286,39046.48,39128.41273817956,39071.05897770387
2025-05-13 02:00:00,39052.0911688217,39040.742,39130.04104470866,39067.5318446626
2025-05-13 03:00:00,39007.4432540942,39039.594,39128.41421661062,39066.239108733185
2025-05-13 04:00:00,38928.0453037896,39034.06,39130.039567619955,39062.85171403598
2025-05-13 05:00:00,39023.6677961586,39037.113,39128.4156923582,39064.50322333246
2025-05-13 06:00:00,39047.7105493994,39039.46,39130.0380932123,39066.63447483869
2025-05-13 07:00:00,39061.4401944957,39037.113,39128.41716542716,39064.50366525315
2025-05-13 08:00:00,38987.4523574456,39039.24,39130.03662148082,39066.47778331924
2025-05-13 09:00:00,38936.0805541917,39046.89,39128.418635822374,39071.347856371714
2025-05-13 10:00:00,39217.0191488009,39050.312,39130.035152420656,39074.229295726196
2025-05-13 11:00:00,38926.2879074419,39058.508,39128.42010354869,39079.481109189604
2025-05-13 12:00:00,39139.1797115709,39055.844,39130.033686026974,39078.09994955809
2025-05-13 13:00:00,39053.2775472833,39062.523,39128.42156861095,39082.29209558328
2025-05-13 14:00:00,39177.092780398,39058.95,39130.03222229492,39080.27333856348
2025-05-13 15:00:00,38924.7639725108,39054.773,39128.423031014,39076.8687061792
2025-05-13 16:00:00,38952.29531784,39048.312,39130.03076121967,39072.8275877409
2025-05-13 17:00:00,38984.379119182,39041.438,39128.424490762656,39067.533206603795
2025-05-13 18:00:00,39056.1213603276,39051.805,39130.0293027964,39075.27246271392
2025-05-13 19:00:00,38934.6717271679,39046.227,39128.42594786174,39070.88520623352
2025-05-13 20:00:00,39147.1361659709,39050.53,39130.0278470203,39074.37944785609
2025-05-13 21:00:00,39036.6496906354,39055.69,39128.427402316054,39077.51259569482
2025-05-13 22:00:00,39165.4694338555,39056.14,39130.026393886554,39078.30674629097
2025-05-13 23:00:00,39103.8650244807,39057.984,39128.42885413041,39079.11654686413
2025-05-14 00:00:00,38974.876232559,39051.164,39130.02494339038,39074.821936142114
2025-05-14 01:00:00,38994.1450243912,39045.316,39128.4303033096,39070.24979411788
2025-05-14 02:00:00,39178.5629825863,39038.57,39130.023495526984,39066.005095533095
2025-05-14 03:00:00,38928.318128532,39037.742,39128.4317498584,39064.94944683252
2025-05-14 04:00:00,39066.6179420711,39030.81,39130.02205029158,39060.57302133748
2025-05-14 05:00:00,39048.0569549886,39037.2,39128.43319378158,39064.56902063447
2025-05-14 06:00:00,39082.0919733672,39041.35,39130.02060767941,39067.95149480383
2025-05-14 07:00:00,38889.6926778242,39036.06,39128.43463508392,39063.77062490018
2025-05-14 08:00:00,39014.4348909087,39032.574,39130.019167685714,39061.80653155572
2025-05-14 09:00:00,39135.5685494647,39041.55,39128.436073770165,39067.61675963105
2025-05-14 10:00:00,39210.000174031695,39043.406,39130.017730305735,39069.390084716724
2025-05-14 11:00:00,39111.679518472,39051.91,39128.43750984508,39074.86719045352
2025-05-14 12:00:00,39158.0341066147,39050.863,39130.016295534726,39074.60840428542
2025-05-14 13:00:00,39024.5876330302,39055.273,39128.43894331338,39077.22308924401
2025-05-14 14:00:00,39017.1617790634,39053.11,39130.01486336795,39076.180240260386
2025-05-14 15:00:00,39037.7586739743,39048.703,39128.44037417981,39072.623909128946
2025-05-14 16:00:00,39106.9967806695,39043.145,39130.01343380068,39069.205202015204
2025-05-14 17:00:00,38977.1665456455,39037.64,39128.441802449095,39064.880196984726
2025-05-14 18:00:00,39251.7927080568,39047.79,39130.012006828205,39072.45477392346
2025-05-14 19:00:00,39144.0589053801,39042.484,39128.44322812594,39068.27124968778
2025-05-14 20:00:00,39063.8832173134,39046.395,39130.01058244581,39071.47973723374
2025-05-14 21:00:00,39098.8420394105,39051.145,39128.44465121506,39074.33417661452
2025-05-14 22:00:00,39091.7185812257,39056.133,39130.00916064879,39078.29571694464
2025-05-14 23:00:00,39088.8667790075,39057.434,39128.44607172115,39078.73694651634
2025-05-15 00:00:00,39124.6218831818,39048.67,39130.00774143246,39073.07263492974
2025-05-15 01:00:00,39051.2778265292,39042.586,39128.44748964889,39068.34479376967
2025-05-15 02:00:00,39092.1171661074,39034.57,39130.006324792135,39063.20111618764
2025-05-15 03:00:00,38986.7519038454,39034.508,39128.44890500297,39062.68896837589
2025-05-15 04:00:00,39061.8413453447,39027.918,39130.00491072314,39058.544441966944
2025-05-15 05:00:00,39143.8732819166,39032.402,39128.45031778806,39061.21673596142
2025-05-15 06:00:00,39153.0357270906,39036.45,39130.003499220795,39064.51472164124
2025-05-15 07:00:00,39083.4240016824,39032.145,39128.45172800882,39061.03551840264
2025-05-15 08:00:00,39132.5092506453,39027.797,39130.00209028045,39058.45765833413
2025-05-15 09:00:00,38988.6660738618,39035.105,39128.4531356699,39063.11015945097
2025-05-15 10:00:00,39171.1661864657,39036.305,39130.000683897466,39064.41231454424
2025-05-15 11:00:00,39118.8090933681,39045.76,39128.45454077596,39070.569565357786
2025-05-15 12:00:00,39106.9853933226,39044.344,39129.99928006719,39070.040799645154
2025-05-15 13:00:00,39071.0920597948,39049.26,39128.455943331624,39073.01920487449
2025-05-15 14:00:00,39159.2274894736,39046.402,39129.99787878499,39071.4798323855
2025-05-15 15:00:00,39015.6378857426,39043.64,39128.45734334153,39069.08603112746
2025-05-15 16:00:00,38936.8933694206,39038.6,39129.99648004623,39066.02042838887
2025-05-15 17:00:00,39085.1298012817,39033.855,39128.45874081028,39062.236840993086
2025-05-15 18:00:00,39171.1839540557,39044.81,39129.99508384631,39070.36375952889
2025-05-15 19:00:00,38967.4058278513,39037.984,39128.46013574251,39065.12593134775
2025-05-15 20:00:00,39050.6191357811,39043.188,39129.993690180614,39069.22857580418
2025-05-15 21:00:00,39084.9224711216,39046.914,39128.46152814281,39071.37830219284
2025-05-15 22:00:00,39063.481997114,39052.23,39129.99229904454,39075.55823658836
2025-05-15 23:00:00,39163.3648690633,39054.105,39128.462918015786,39076.41192227974
2025-05-16 00:00:00,39173.0071362576,39045.383,39129.99091043351,39070.76485125505
2025-05-16 01:00:00,39024.850290994,39038.867,39128.464305366026,39065.746322859806
2025-05-16 02:00:00,39089.5593960048,39032.92,39129.98952434293,39062.041779177875
2025-05-16 03:00:00,39333.8255877951,39033.43,39128.46569019809,39061.940097684426
2025-05-16 04:00:00,38989.7125446887,39027.473,39129.98814076822,39058.22691098046
2025-05-16 05:00:00,39109.0212318006,39031.773,39128.46707251657,39060.78035612997
2025-05-16 06:00:00,39105.7435483564,39036.195,39129.98675970482,39064.331965411446
2025-05-16 07:00:00,39058.007845637,39030.285,39128.46845232602,39059.73975444781
2025-05-16 08:00:00,38996.7440718926,39027.652,39129.98538114818,39058.35108309446
2025-05-16 09:00:00,39031.195539833505,39033.44,39128.469829631,39061.9491520143
2025-05-16 10:00:00,39311.1638381702,39032.83,39129.98400509374,39061.97371715312
2025-05-16 11:00:00,38953.8096407962,39039.758,39128.47120443605,39066.37143945581
2025-05-16 12:00:00,38958.0943762611,39036.906,39129.982631536965,39064.82877383609
2025-05-16 13:00:00,39067.0360421745,39042.95,39128.472576745706,39068.60622614871
2025-05-16 14:00:00,39061.8498477121,39042.43,39129.98126047331,39068.69555001699
2025-05-16 15:00:00,39001.392287032,39041.496,39128.473946564496,39067.589058969344
2025-05-16 16:00:00,38903.5409954419,39037.066,39129.979891898256,39064.93928006948
2025-05-16 17:00:00,38918.6390084989,39033.344,39128.47531389694,39061.88243791908
2025-05-16 18:00:00,39085.7526100975,39043.89,39129.97852580728,39069.716213992186
2025-05-16 19:00:00,39171.919831875,39040.867,39128.47667874755,39067.15042549926
2025-05-16 20:00:00,38810.7776425707,39043.848,39129.977162195886,39069.68650803377
2025-05-16 21:00:00,39016.2245352242,39046.87,39128.47804112085,39071.35200608625
2025-05-16 22:00:00,39126.6163194303,39051.1,39129.97580105956,39074.764224692866
2025-05-16 23:00:00,39040.4080283054,39052.547,39128.479401021315,39075.3270234314
2025-05-17 00:00:00,39130.7250434065,39047.2,39129.974442393825,39072.031395218146
2025-05-17 01:00:00,39130.7044324473,39041.684,39128.48075845344,39067.72196191103
2025-05-17 02:00:00,39057.8714055257,39037.023,39129.973086194186,39064.90794148325
2025-05-17 03:00:00,39187.4180387445,39038.977,39128.48211342171,39065.82783715151
2025-05-17 04:00:00,39099.3496987087,39033.33,39129.97173245617,39062.321597861854
2025-05-17 05:00:00,39066.9186179615,39037.23,39128.4834659306,39064.60558665418
2025-05-17 06:00:00,38958.9648494694,39040.766,39129.970381175306,39067.52627060259
2025-05-17 07:00:00,39022.0348422912,39034.18,39128.48481598456,39062.47122604537
2025-05-17 08:00:00,39201.4557663613,39032.82,39129.96903234714,39061.96531907914
2025-05-17 09:00:00,39137.6191318523,39037.28,39128.48616358805,39064.641552201414
2025-05-17 10:00:00,39176.9665070652,39035.977,39129.96768596721,39064.17389954016
2025-05-17 11:00:00,38975.5828722209,39040.19,39128.48750874553,39066.67906512366
2025-05-17 12:00:00,39076.9779033919,39037.59,39129.96634203108,39065.302402609326
2025-05-17 13:00:00,39089.2987630747,39039.797,39128.48885146142,39066.404077313426
2025-05-17 14:00:00,38952.4912051728,39041.13,39129.965000534314,39067.77856266029
2025-05-17 15:00:00,39038.2911746103,39039.61,39128.490191740166,39066.27362002205
2025-05-17 16:00:00,38910.3845135262,39034.906,39129.96366147248,39063.42269219174
2025-05-17 17:00:00,39141.9717198153,39034.867,39128.491529586194,39062.95370887586
2025-05-17 18:00:00,39118.8174292943,39043.74,39129.962324841166,39069.60588495235
2025-05-17 19:00:00,39032.3390319655,39042.633,39128.49286500391,39068.389656376174
2025-05-17 20:00:00,39339.2117612679,39045.53,39129.96099063595,39070.85939094079
2025-05-17 21:00:00,38995.1496907557,39049.44,39128.494197997716,39073.157634399315
2025-05-17 22:00:00,38988.0527799303,39053.055,39129.95965885243,39076.12656953073
2025-05-17 23:00:00,39031.3617312957,39053.508,39128.49552857203,39076.003736696606
2025-05-18 00:00:00,39170.1173993332,39049.63,39129.95832948622,39073.72773322086
2025-05-18 01:00:00,39061.7769187596,39043.14,39128.49685673123,39068.746322644365
2025-05-18 02:00:00,39114.3190666469,39038.57,39129.95700253293,39065.98514763488
2025-05-18 03:00:00,39330.4640318945,39039.055,39128.498182479714,39065.887345368916
2025-05-18 04:00:00,38924.4815774037,39035.11,39129.955677988175,39063.562875271455
2025-05-18 05:00:00,39115.3145648795,39038.543,39128.49950582184,39065.53032049655
2025-05-18 06:00:00,39029.5022233185,39040.94,39129.954355847585,39067.644509879276
2025-05-18 07:00:00,39058.7910759562,39035.727,39128.500826761985,39063.558060528594
2025-05-18 08:00:00,39052.74840321,39035.375,39129.953036106795,39063.74762958204
2025-05-18 09:00:00,38951.860989727,39039.19,39128.502145304505,39065.98423734135
2025-05-18 10:00:00,39042.8930358967,39038.145,39129.951718761455,39065.68668750343
2025-05-18 11:00:00,39183.6294504001,39041.92,39128.50346145376,39067.896741561126
2025-05-18 12:00:00,39140.4273403661,39037.52,39129.95040380721,39065.24879301716
2025-05-18 13:00:00,39194.8080523893,39039.117,39128.50477521409,39065.93229193923
2025-05-18 14:00:00,38991.1011491159,39042.523,39129.94909123973,39068.75035237192
2025-05-18 15:00:00,39117.6137409558,39038.758,39128.50608658983,39065.682685351945
2025-05-18 16:00:00,39091.3940349041,39034.098,39129.94778105467,39062.851521816396
2025-05-18 17:00:00,38991.6736927123,39034.34,39128.50739558529,39062.589328050584
2025-05-18 18:00:00,39254.3607281587,39043.492,39129.946473247706,39069.42730134931
2025-05-18 19:00:00,39164.658310778,39041.207,39128.508702204825,39067.39636066145
2025-05-18 20:00:00,38999.5355114632,39044.34,39129.945167814534,39070.02065971936
2025-05-18 21:00:00,39051.7487439493,39047.277,39128.51000645273,39071.64675193582
2025-05-18 22:00:00,39132.2137344296,39053.45,39129.943864750836,39076.39722192525
2025-05-18 23:00:00,39059.8257710735,39054.434,39128.511308333305,39076.65690812499
2025-05-19 00:00:00,39045.7105235032,39048.637,39129.94256405231,39073.02769109069
2025-05-19 01:00:00,39180.636533849,39042.836,39128.51260785085,39068.53815735525
2025-05-19 02:00:00,38934.7617995561,39035.645,39129.94126571467,39063.9335515894
2025-05-19 03:00:00,39085.6345756004,39034.324,39128.513905009655,39062.581515252896
2025-05-19 04:00:00,39039.6571985251,39029.664,39129.93996973362,39059.74566279509
2025-05-19 05:00:00,39183.8780440889,39031.535,39128.515199814006,39060.6287786942
2025-05-19 06:00:00,39111.9289721066,39035.55,39129.938676104895,39063.86636845647
2025-05-19 07:00:00,39006.4982568726,39031.98,39128.51649226817,39060.94166643045
2025-05-19 08:00:00,39073.2083170759,39031.82,39129.937384824225,39061.25465294727
2025-05-19 09:00:00,39018.4897711814,39038.297,39128.517782376424,39065.361975337924
2025-05-19 10:00:00,39158.2717845397,39041.11,39129.93609588734,39067.7562193912
2025-05-19 11:00:00,39048.7054789581,39049.43,39128.51907014301,39073.1553304179
2025-05-19 12:00:00,39030.1386664364,39047.832,39129.93480928998,39072.462864662
2025-05-19 13:00:00,39115.301013798,39055.23,39128.52035557219,39077.216262921655
2025-05-19 14:00:00,39089.5127508798,39053.13,39129.93352502792,39076.16951063338
2025-05-19 15:00:00,39112.3249216704,39049.242,39128.5216386682,39073.02524160046
2025-05-19 16:00:00,39156.3560055925,39044.895,39129.932243096904,39070.40545417907
2025-05-19 17:00:00,39147.3579348985,39038.023,39128.52291943528,39065.17211020558
2025-05-19 18:00:00,39041.7654111518,39047.777,39129.930963492705,39072.42264842281
2025-05-19 19:00:00,38948.283615169,39043.01,39128.524197877654,39068.6646812383
2025-05-19 20:00:00,39031.2683162149,39044.977,39129.9296862111,39070.46132773833
2025-05-19 21:00:00,38961.4870150416,39049.027,39128.52547399954,39072.87600157486
2025-05-19 22:00:00,39173.1678212927,39046.086,39129.92841124788,39071.23828899936
2025-05-19 23:00:00,39162.1295707814,39045.426,39128.52674780516,39070.354899341546
2025-05-20 00:00:00,38941.3600805143,39052.508,39129.927138598825,39075.734000954646
2025-05-20 01:00:00,39011.6414679148,39046.48,39128.52801929871,39071.09356203961
2025-05-20 02:00:00,39071.5791913544,39040.742,39129.92586825974,39067.49729172792
2025-05-20 03:00:00,39025.0119053254,39039.594,39128.52928848439,39066.27363029531
2025-05-20 04:00:00,39109.0143661042,39034.06,39129.92460022644,39062.81722381793
2025-05-20 05:00:00,39173.2932069394,39037.113,39128.53055536638,39064.53768223491
2025-05-20 06:00:00,39220.3092043686,39039.46,39129.92333449472,39066.600047223415
2025-05-20 07:00:00,39085.5142247977,39037.113,39128.53181994886,39064.53806160966
2025-05-20 08:00:00,39123.1098904014,39039.24,39129.92207106042,39066.44341819313
2025-05-20 09:00:00,38911.325100058,39046.89,39128.53308223602,39071.38219029581
2025-05-20 10:00:00,38969.1690080281,39050.312,39129.920809919364,39074.19499297581
2025-05-20 11:00:00,39031.0251041225,39058.508,39128.534342232015,39079.515380794604
